unix_sec,unix_ms,rel_sec,rel_ms,TP9,TP10,AF7,AF8
1758146968.953,1758146968953,8.25600004196167,8256,972.674,943.2601,892.0879,801.02563
1758146969.02,1758146969020,8.322999954223633,8323,854.21246,860.2564,723.663,799.81683
1758146969.021,1758146969021,8.323999881744385,8324,731.7216,755.09155,660.40295,796.99634
1758146969.021,1758146969021,8.323999881744385,8324,821.1722,808.68134,851.79486,797.8022
1758146969.022,1758146969022,8.325000047683716,8325,949.304,912.6374,929.15753,801.02563
1758146969.024,1758146969024,8.32699990272522,8327,876.3736,877.1795,770.40295,803.8461
1758146969.024,1758146969024,8.32699990272522,8327,736.9597,764.35895,712.381,798.20514
1758146969.024,1758146969024,8.32699990272522,8327,774.0293,772.01465,798.60803,792.5641
1758146969.024,1758146969024,8.32699990272522,8327,907.8022,878.3883,899.7436,795.78754
1758146969.025,1758146969025,8.32800006866455,8328,897.326,898.1319,841.7216,799.81683
1758146969.025,1758146969025,8.32800006866455,8328,750.65936,790.9524,598.7546,797.8022
1758146969.025,1758146969025,8.32800006866455,8328,723.663,745.42126,712.381,794.17584
1758146969.026,1758146969026,8.328999996185303,8329,862.27106,842.9304,913.44324,797.8022
1758146969.062,1758146969062,8.365000009536743,8365,929.15753,914.2491,956.55676,806.26373
1758146969.063,1758146969063,8.365999937057495,8366,794.17584,819.9634,744.21246,805.4579
1758146969.063,1758146969063,8.365999937057495,8366,706.7399,735.7509,650.7326,803.8461
1758146969.064,1758146969064,8.366999864578247,8367,828.8278,816.337,857.8388,806.6667
1758146969.064,1758146969064,8.366999864578247,8367,943.663,915.8608,972.674,811.9048
1758146969.064,1758146969064,8.366999864578247,8367,836.8865,853.4066,817.1429,812.3077
1758146969.064,1758146969064,8.366999864578247,8367,709.9634,748.24176,672.8938,806.6667
1758146969.065,1758146969065,8.368000030517578,8368,785.7143,786.52014,786.1172,804.2491
1758146969.065,1758146969065,8.368000030517578,8368,915.8608,891.685,903.7729,805.05493
1758146969.065,1758146969065,8.368000030517578,8368,859.0476,871.9414,782.49084,806.26373
1758146969.066,1758146969066,8.36899995803833,8369,713.9927,754.68866,661.2088,804.2491
1758146969.066,1758146969066,8.36899995803833,8369,734.94507,745.0183,802.6374,802.6374
1758146969.105,1758146969105,8.407999992370605,8408,874.7619,856.63007,944.87177,807.0696
1758146969.105,1758146969105,8.407999992370605,8408,886.4469,888.46155,840.9158,807.8755
1758146969.106,1758146969106,8.408999919891357,8409,743.4066,778.0586,651.53845,799.41394
1758146969.106,1758146969106,8.408999919891357,8409,694.65204,721.2454,688.20514,794.9817
1758146969.106,1758146969106,8.408999919891357,8409,838.49817,827.2161,974.68866,804.2491
1758146969.107,1758146969107,8.410000085830688,8410,919.4872,907.8022,937.619,811.9048
1758146969.108,1758146969108,8.41100001335144,8411,779.67035,810.293,679.7436,810.696
1758146969.109,1758146969109,8.411999940872192,8412,681.3553,716.4103,657.98535,807.0696
1758146969.109,1758146969109,8.411999940872192,8412,794.17584,786.9231,857.4359,806.6667
1758146969.109,1758146969109,8.411999940872192,8412,920.696,894.10254,904.17584,811.9048
1758146969.11,1758146969110,8.412999868392944,8413,821.978,839.304,724.0659,811.0989
1758146969.11,1758146969110,8.412999868392944,8413,682.5641,730.5128,637.8388,805.05493
1758146969.13,1758146969130,8.433000087738037,8433,747.8388,757.1062,822.381,799.41394
1758146969.131,1758146969131,8.434000015258789,8434,890.4762,872.3443,958.5714,806.26373
1758146969.131,1758146969131,8.434000015258789,8434,861.4652,876.3736,809.0842,813.1135
1758146969.131,1758146969131,8.434000015258789,8434,711.978,761.13556,639.0476,808.68134
1758146969.132,1758146969132,8.434999942779541,8435,709.15753,732.1245,767.98535,804.65204
1758146969.132,1758146969132,8.434999942779541,8435,860.65936,843.3333,1010.54944,808.2784
1758146969.132,1758146969132,8.434999942779541,8435,896.1172,896.9231,874.35895,815.9341
1758146969.133,1758146969133,8.435999870300293,8436,754.68866,784.5055,603.9927,807.0696
1758146969.133,1758146969133,8.435999870300293,8436,698.68134,716.4103,669.2674,801.02563
1758146969.133,1758146969133,8.435999870300293,8436,831.6484,811.50183,894.10254,806.26373
1758146969.134,1758146969134,8.437000036239624,8437,925.5311,902.96704,937.619,809.89014
1758146969.134,1758146969134,8.437000036239624,8437,799.011,821.978,711.5751,805.05493
1758146969.2,1758146969200,8.503000020980835,8503,685.78754,718.8278,673.69965,798.60803
1758146969.2,1758146969200,8.503000020980835,8503,784.90845,777.25275,885.64105,802.6374
1758146969.2,1758146969200,8.503000020980835,8503,914.2491,888.86444,966.2271,810.293
1758146969.201,1758146969201,8.503999948501587,8504,832.4542,847.76556,729.304,810.293
1758146969.201,1758146969201,8.503999948501587,8504,696.26373,735.34796,632.6007,805.05493
1758146969.201,1758146969201,8.503999948501587,8504,751.4652,756.7033,910.6227,803.44324
1758146969.202,1758146969202,8.504999876022339,8505,892.49084,871.53845,983.95605,811.0989
1758146969.202,1758146969202,8.504999876022339,8505,873.95605,875.56775,771.6117,813.5165
1758146969.204,1758146969204,8.506999969482422,8507,728.49817,758.315,665.2381,805.8608
1758146969.204,1758146969204,8.506999969482422,8507,710.7692,724.4689,712.7839,798.60803
1758146969.205,1758146969205,8.507999897003174,8508,851.79486,828.4249,936.4103,804.2491
1758146969.205,1758146969205,8.507999897003174,8508,897.326,890.87915,871.53845,806.6667
1758146969.23,1758146969230,8.532999992370605,8533,755.89746,788.93774,661.6117,798.60803
1758146969.23,1758146969230,8.532999992370605,8533,682.96704,709.9634,721.6484,793.7729
1758146969.231,1758146969231,8.533999919891357,8534,809.4872,799.41394,888.86444,795.38464
1758146969.231,1758146969231,8.533999919891357,8534,921.0989,898.1319,925.5311,803.8461
1758146969.231,1758146969231,8.533999919891357,8534,809.4872,823.5897,732.9304,801.02563
1758146969.232,1758146969232,8.535000085830688,8535,682.96704,718.4249,720.4396,793.7729
1758146969.232,1758146969232,8.535000085830688,8535,765.16486,766.77655,875.56775,798.20514
1758146969.232,1758146969232,8.535000085830688,8535,897.72894,877.1795,892.8938,804.65204
1758146969.232,1758146969232,8.535000085830688,8535,838.0952,856.2271,767.5824,806.26373
1758146969.233,1758146969233,8.53600001335144,8536,696.26373,741.39197,669.2674,799.011
1758146969.233,1758146969233,8.53600001335144,8536,722.8571,739.7802,780.4762,792.96704
1758146969.234,1758146969234,8.536999940872192,8537,870.32965,855.82416,931.5751,800.6227
1758146969.299,1758146969299,8.601999998092651,8602,874.7619,881.6117,849.3773,807.47253
1758146969.299,1758146969299,8.601999998092651,8602,728.0952,767.5824,681.3553,803.0403
1758146969.3,1758146969300,8.602999925613403,8603,699.0842,721.2454,749.0476,801.02563
1758146969.3,1758146969300,8.602999925613403,8603,838.9011,827.2161,884.43225,805.05493
1758146969.3,1758146969300,8.602999925613403,8603,908.20514,897.72894,871.9414,805.4579
1758146969.301,1758146969301,8.604000091552734,8604,777.6557,799.81683,766.77655,800.2198
1758146969.301,1758146969301,8.604000091552734,8604,692.6374,716.4103,681.75824,794.57874
1758146969.301,1758146969301,8.604000091552734,8604,809.4872,793.7729,803.44324,798.20514
1758146969.301,1758146969301,8.604000091552734,8604,926.7399,898.1319,943.2601,809.4872
1758146969.302,1758146969302,8.605000019073486,8605,826.8132,834.87177,701.0989,807.8755
