unix_sec,unix_ms,rel_sec,rel_ms,Delta_TP9,Delta_TP10,Delta_AF7,Delta_AF8,Theta_TP9,Theta_TP10,Theta_AF7,Theta_AF8,Alpha_TP9,Alpha_TP10,Alpha_AF7,Alpha_AF8,Beta_TP9,Beta_TP10,Beta_AF7,Beta_AF8,Gamma_TP9,Gamma_TP10,Gamma_AF7,Gamma_AF8
1758146975.771,1758146975771,15.073999881744385,15074,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.771,1758146975771,15.073999881744385,15074,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.771,1758146975771,15.073999881744385,15074,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.772,1758146975772,15.075000047683716,15075,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.772,1758146975772,15.075000047683716,15075,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.802,1758146975802,15.105000019073486,15105,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.802,1758146975802,15.105000019073486,15105,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.803,1758146975803,15.105999946594238,15106,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.803,1758146975803,15.105999946594238,15106,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.803,1758146975803,15.105999946594238,15106,-0.14335568,0.242847,0.0,-0.042017084,0.5814834,0.49542484,0.0,-0.24932334,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.010688293,-0.254777,-0.16878486,0.0,-0.31358996
1758146975.804,1758146975804,15.10699987411499,15107,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.805,1758146975805,15.108000040054321,15108,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.805,1758146975805,15.108000040054321,15108,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.806,1758146975806,15.108999967575073,15109,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.806,1758146975806,15.108999967575073,15109,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.806,1758146975806,15.108999967575073,15109,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.807,1758146975807,15.109999895095825,15110,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.835,1758146975835,15.138000011444092,15138,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.835,1758146975835,15.138000011444092,15138,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.836,1758146975836,15.138999938964844,15139,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.836,1758146975836,15.138999938964844,15139,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.836,1758146975836,15.138999938964844,15139,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.837,1758146975837,15.139999866485596,15140,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.837,1758146975837,15.139999866485596,15140,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.837,1758146975837,15.139999866485596,15140,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.838,1758146975838,15.141000032424927,15141,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.838,1758146975838,15.141000032424927,15141,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.838,1758146975838,15.141000032424927,15141,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.839,1758146975839,15.141999959945679,15142,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.908,1758146975908,15.210999965667725,15211,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.909,1758146975909,15.211999893188477,15212,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.909,1758146975909,15.211999893188477,15212,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.909,1758146975909,15.211999893188477,15212,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.91,1758146975910,15.213000059127808,15213,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.91,1758146975910,15.213000059127808,15213,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.91,1758146975910,15.213000059127808,15213,-0.14335568,0.242847,0.0,0.14297868,0.5814834,0.49542484,0.0,-0.15676929,0.6602559,1.0195457,0.0,0.23451363,0.23576233,0.2164492,0.0,0.016163835,-0.254777,-0.16878486,0.0,-0.25063077
1758146975.911,1758146975911,15.21399998664856,15214,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.913,1758146975913,15.216000080108643,15216,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.913,1758146975913,15.216000080108643,15216,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.913,1758146975913,15.216000080108643,15216,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.913,1758146975913,15.216000080108643,15216,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
1758146975.948,1758146975948,15.250999927520752,15251,-0.14335568,0.242847,0.0,0.33038685,0.5814834,0.49542484,0.0,-0.050693866,0.6602559,1.0195457,0.0,0.24804541,0.23576233,0.2164492,0.0,0.019445337,-0.254777,-0.16878486,0.0,-0.19688429
